aimer,"graag hebben, houden van"
aller,"gaan, functioneren, samengaan met, passen bij"
alors,dan
un an,een jaar
aussi,ook
autre,andere
avoir,hebben
bien,"goed, veel, erg"
bon,goed
une chose,"een ding, een zaak"
croire,geloven
deux,twee
devoir,moeten (doen)
dire,zeggen
donner,geven
encore,nog
être,zijn
faire,"doen, maken"
il faut,men moet (iets doen)
une fois,een keer
grand,groot
un homme,een man
ici,hier
ne … jamais,nooit
un jour,een dag
là,daar
mettre,"leggen, plaatsen, aantrekken"
le monde,de wereld
non,nee
oui,ja
parler,spreken
ne ... pas,niet
passer,"voorbijkomen, doorgeven, doorbrengen"
penser,denken aan
petit,klein
plus,meer
pouvoir,"kunnen, mogen"
premier,eerste
prendre,"vastnemen, nemen"
quand,wanneer
ne ... rien,niets
savoir,"weten, kennen, kunnen"
suivre,volgen
le temps,"de tijd, het weer"
toujours,altijd
très,zeer
trouver,vinden
venir,komen
voir,zien
vouloir,willen
